题干,内容
子宫内膜息肉间质的重要特点为,A.炎细胞浸润 B.间质细胞增生活跃 C.短梭形细胞 D.含有丰富的细胞外结缔组织，而且含有大的厚壁血管 E.间质丰富 正确答案:D
以下不是MR成像技术优点的是,A.组织分辨力高 B.空间分辨力高 C.无辐射 D.多种成像序列 E.多方位扫描 正确答案:B
心肺复苏时，插管前按压/吹气比例:单人(每，个循环或2分钟后检查脉搏)双人__(每，个循环或2分钟后检查脉搏)插管后，按压/吹气比例:按循环配合，持续按压--次/分钟，吹气--次/分钟。,A.30:2，5，30:2，5，不需要，100，8-10 B.30:1，2，30:2，3，需要，100，8-10 C.30:2，5，30:2，3，不需要，100，10-15 D.15:1，4，15:1，5，需要，100，10-15 E.30:2，5，30:2，1，不需要，100，8-10  正确答案:A
关于高眼压症的描述，下列正确的是,A.高眼压症就是青光眼! B.大部分的高眼压症发展为青光眼 C.大约10%的个体发展为青光眼 D.高眼压症主要与原发性闭角型青光眼相鉴别 E.需要手术治疗 正确答案:C
磁共振波谱检查的物理基础是,A.流入相关增强现象 B.化学位移现象 C.流空现象 D.质子扩散运动 E.部分容积效应 正确答案:B
患者男，65岁。头痛15 天，胡言乱语3 天入院。否认高血压、糖尿病及肝炎、肾病史。1个月前曾有1次轻微头部外伤史。查体:T36.8C，P67次/分，R14次/分，BP 155/90 mmHg。烦燥不安，刺痛睁眼，言语含混不清，刺痛肢体可定位。左侧瞳孔2 mm，右侧3 mm，左侧肢体活动减少，肌力IV级，右侧肌力V级。对治疗最具指导意义的检查是,A.头颅CT/MRI B.脑电图 C.腰椎穿刺 D.血沉 E.TCD  正确答案:A
关于蛔虫病的叙述，下列哪一项是错误的?,A.蛔虫病是似蚯蚓蛔线虫主要寄生于人体小肠所致慢性传染病 B.肠蛔虫病常无明显症状，部分患者有腹痛和肠道功能素乱表现 C.除肠蛔虫病外，还有异位蛔虫病 D.蛔虫病一般预后良好 E.蛔虫病流行广，儿童感染率低  正确答案:E 
血友病甲典型的实验室检查结果是,A.APTT延长 B.PT延长 C.血小板减少 D.纤维蛋白原降低 E.D二聚体升高  正确答案:A
 以下哪种因素对肺弥散功能影响最大,A.血红蛋白浓度  B. 呼吸频率 C.肺泡通气量 D.肺泡氧分压 E.呼吸膜的面积和厚度  正确答案:E
下列哪种说法错误,A.发热和低体温都有可能是炎症反应和感染的表现 B.心率增快常常是循环衰竭早期交感神经系统代偿性兴奋的表现 C.呼吸增快仅仅会出现在呼吸衰竭的患者 D.呼吸增快可能是病情加重早期的唯一表现 E.濒临终末期的患者可以表现为心率和呼吸频率减慢  正确答案:C
关于慢性肾炎，下述哪项说法正确,"A.多数患者无急性肾炎病史 B.多数由急性肾炎发展而来 C.多数是致病菌侵犯,肾小球所致 D.多数因治疗不当或贻误治疗而引起 E.多数由链球菌感染而发病  正确答案:A"
下列哪种情况提示患者病情危重,A.收缩压<90mmHg B.血钠117mmo/L C.尿量100m1/天 D.血钾2.0mmol/L E.以上都对  正确答案:E
急性炎症性脱髓鞘性多发性神经病最严重、最危险的症状是,A.吞咽困难 B.呼吸肌麻痹 C.肺部感染 D.心力衰竭 E.心肌炎  正确答案:B
新鲜创面皮片移植失败最常见的原因为,A.加压包扎力量不够 B.感染 C.皮片下血肿或血清肿 D.适应证和移植方法选择不当 E.健康及营养状况过于低下  正确答案:C
下肢静脉频谱多普勒的时相变化代表,A.进行乏氏(Valsalva)动作时血流的变化 B.患者进行体位改变致血流变化 C.腓肠肌收缩时的血流变化 D.呼吸时的血流变化 E.探头频率改变时血流的变化  正确答案:D
抢救AOPP时，阿托品用量是依据,A.有机磷农药中毒者的病情和对治疗的反应而定 B.有机磷农药的毒性高低而定 C.有机磷农药中毒的途径而定 D.有机磷中毒的剂量而定 E.全血胆碱酯酶活力降低的程度而定  正确答案:A
关于情感性障碍的发病率与血缘的关系，以下说法正确的是,A.血缘与发病率高低无关 B.血缘关系越远，发病率越高 C.血缘关系越近，发病率越高 D.血缘关系越近，发病率越低 E.以上都不对  正确答案:C
视神经孔内侧以筛骨薄骨板与下列哪组鼻窦相隔,A.后组筛窦，额窦。 B.前、后组筛窦 C.前组筛窦、蝶窦 D.后组筛窦、蝶窦 E.额窦、前组筛窦  正确答案:D
属于女性体内雄激素的项目，错误的是,A.促使阴蒂、阴唇及阴阜的发育 B.促进阴毛及腋毛的生长 C.脱氢表雄酮是卵巢合成雌激素的中间产物 D.雄烯二酮在外周组织中能被转化为雌酮 E.雄激素主要来自卵巢  正确答案:E
可与未感染HIV的CD4+T淋巴细胞CD4分子结合，形成融合细胞使细胞发生溶解破坏的蛋白是,A.p24 B.gp120 C.P7 D.R蛋白 E.U蛋白  正确答案:B
原发性甲旁亢的最常见病因是,A.甲状旁腺腺瘤 B.甲状旁腺增生 C.甲状旁腺腺癌 D.肺癌 E.慢性肾功能不全  正确答案:A
下列对垂体窝的描述正确的是,A.底与筛窦相邻 B.两侧是海绵窦 C.后方为鞍结节 D.顶为小脑幕 E.前方是视神经管  正确答案:B
颅内压增高最容易麻痹的神经是,A.视神经 B.动眼神经 C.面神经 D.外展神经 E.三叉神经  正确答案:D
腹股沟管的内环是,A.腹横筋膜的卵圆形裂隙 B.腹膜的卵圆形裂隙 C.腹外斜肌腱膜的三角形裂隙 D.联合肌腱下方的薄弱部分 E.腹内斜肌腱膜的三角形裂隙  正确答案:A
下列疾病中常以隐性感染为主要表现形式的是,A.流行性乙型脑炎 B.麻疹 C.水痘 D.天花 E.伤寒  正确答案:A 解析：在大多数病毒性传染病(如脊髓灰质炎和流行性乙型脑炎)中，隐性感染是最常见的表现，其数量远远超过显性感染(10倍以上)。
关于心底部解剖的描述，以下不正确的是,A.由左心房和小部分右心房组成 B.心底朝向左后上方 C.上、下腔静脉分别注入右心房 D.左、右肺静脉从两侧注入左心房 E.心底后隔面、心包后壁与食管、迷走神经和胸主动脉等毗邻  正确答案:B
心包炎最常见的病因是?,A.病毒感染 B.细菌感染 C.自身免疫疾病 D.化学性因素 E.放射性因素  正确答案:A
与类风湿关节炎病情活动相关的检査是,A.类风湿因子(RF) B.抗核抗体(ANA)谱 C.血沉(ESR)和C反应蛋白(C-RP) D.关节X线检查 E.血清补体  正确答案:C
 心源性猝死的抢救，美国心脏病学会推荐四个Early环节，以下哪条描述不正确?,"A.Early Access 早期识别启动紧急医疗服务系统，最好1~2分钟内。B.Early Call 早呼叫，最好发现就呼叫转运系统 C.Early CPR 早期心肺复苏，最好1~2分钟内。 D.Early Defib 早期去颤，最好在4分钟内进行电去颤, E.Early ACLS 早期其他生命支持治疗。正确答案:B"
下列哪项不属于肩袖组织?,A.冈上肌 B.冈下肌 C.肱二头肌 D.肩胛下肌 E.小圆肌  	正确答案:C  肩袖是由4块肌肉组成的，从前往后分别是:肩胛下肌、冈上肌、冈下肌和小圆肌
下列哪一项不是CD进展的高危因素,A.发病年龄小 B.吸烟 C.回盲部受累 D.穿透性或狭窄性病变 E.肛周病变  正确答案:C
评判漏斗胸的严重程度，以下哪些观点是不正确的?,A.漏斗胸的严重程度与漏斗胸凹陷部的纵径、横径和深度成正比(呈正相关) B.漏斗胸的严重程度与胸骨长度、胸部横径及胸骨角至椎体的最短距离成反比(负相关) C.胸脊间距(X线胸侧位片:胸骨凹陷深处后沿与脊柱前沿间距))7cm为轻度，5~7cm为中度，(5cm为重度。 D.漏斗胸的严重程度与患者仰卧位时凹陷的“漏斗处”的盛水量成正比 E.漏斗胸的严重程度与患者体重无关  正确答案:E
肌肉痉挛可能的病理生理基础不包括,A.牵张反射兴奋性增强 B.y神经元兴奋性增强 C.a运动神经元特性改变 D.Ia类纤维通过中间神经元对支配拮抗肌的a运动神经元的单突触抑制减弱 E.高位中枢对脊髓反射环路的调控增强 正确答案:E 
关于结节性甲状腺肿和甲状腺瘤的鉴别诊断要点，下列哪项错误,A.前者为多发结节，而后者一般为单发结节 B.前者无完整包膜，而后者有完整包膜 C.前者滤泡大小不一致，而后者则相反 D.前者包膜内外组织呈一致性，而后者往往不一致 E.前者常压迫周围组织，而后者则无压迫现象 正确答案：E
骨关节炎患者保护关节功能锻炼包括,A.滑冰 B.太极拳 C.举重 D.爬山 E.田径比赛 正确答案:B
 以下哪种炎症介质不具有阳性趋化作用,A.白细胞三烯 B.C5a C.TNF D.IL-8 E.缓激肽 正确答案:E
精神分裂症患者的思维联想障碍表现不包括,A.符合修辞逻辑法则 B.谈问题无法切入主题 C.音联、意联 D.说话绕圈子，无法正面回答问题 E.患者言语支离破碎，无法交谈 正确答案:A
下列说法中，完全错误的是,A.前组鼻窦包括上颌窦、前组筛窦和额窦 B.前组鼻窦窦口均位于中鼻道 C.后组鼻窦包括后组筛窦和蝶窦 D.后组筛窦窦口位于上鼻道，蝶窦窦口位于上鼻道后上方的蝶隐窝 E.嗅裂有脓性分泌物提示前组鼻窦感染 正确答案:E
 关于发育性髋关节脱位的发生率，以下说法错误的是,A.臀位产发病率较高 B.女性多于男性 C.右侧多于左侧 D.剖宫产婴儿发病几率高 E.北方发病率高于南方 正确答案:C
成人P-R间期正常值是,A.0.09 ~0.22s B.0.10~0.20s C.0.12~0.20s D.0.08~0.20s E.0.11~0.20s 正确答案:C
女性，35岁。反复抽搐1年余。多于空腹或运动后发作，当地诊断癫，给予卡马西平治疗半年，无明显疗效，发作时査血糖1.3mmol，当时的胰岛素28uIU/ml，胰腺磁共振未见明显异常，为明确诊断以下哪项检查最为关键,A.胰腺CT B.超声内镜 C.饥饿试验 D.血C肽检测 E.延长的OGTT 正确答案:B
关于颈椎病，以下哪项描述是错误的?,A.长时间的不良姿势可能导致颈椎病 B.颈椎病可以通过物理治疗和药物治疗缓解 C.严重的颈椎病可能需要手术治疗 D.颈椎病可能导致手臂麻木和头痛 E.只影响颈部区域 正确答案:E
急性脓胸若未及时治疗，常可出现:,A.脓液穿破到对侧胸腔 B.脓液穿破心脏和大血管 C.脓液穿破胸壁形成窦道 D.脓液穿破食管 E.脓液穿破膈肌 正确答案:C
医院获得性肺炎最常见的病原菌是,A.肺炎球菌 B.葡萄球菌 C.甲种溶血性链球菌 D.革兰阴性杆菌 E.军团菌 正确答案:D
对于烧伤深度的分类，正确地是,A.目前我国采用四度五分法 B.目前我国采用三度五分法 C.目前我国采用四度四分法 D.目前我国采用三度四分法 E.目前我国采用五度五分法 正确答案:D
下列哪种扫描层厚、层距参数属于连续、无间隔扫描,A.层厚10mm，层距10mm B.层厚10mm，层距0mm C.层厚10mm，层距20mm D.层厚10mm，层距5mm E.层厚5mm，层距10mm 正确答案:B
痉挛是一种病理生理状态，对患者有诸多不利影响，但不包括,A.增加运动的阻力，使随意运动难以完成 B.易发生肌肉萎缩 C.动作协调困难，容易擦倒 D.严重痉挛者，不便护理，容易发生压疮等并发症 E.影响步态和日常生活活动 正确答案:B 
"异体输血,完成输血前试验的全部项目后,免疫学反应就可以","A.完全避免 B.不能完全避免 C.加快输血速度,能完全避免 D.减慢输血速度,能完全避免 E.血液中加地塞米松,能完全避免 正确答案:B"
轴位CT平扫难以确定病变位于幕上或幕下时，用哪一种方法帮助定位最佳,A.轴位增强扫描 B.动态增强扫描 C.冠状位增强扫描 D.薄层CT扫描 E.重叠扫描 正确答案:C
怀疑子宫内膜不规则脱落进行诊刮的时间应选择在月经,A.来朝12小时内 B.第2~3天 C.第5~6天 D.干净3天 E.来潮前夕 正确答案:C
关于股骨颈骨折的手术治疗，以下哪项描述是正确的?,A.所有股骨颈骨折患者都应立即进行髋关节置换手术 B.内固定是治疗无位移股骨颈骨折的首选方法 C.股骨颈骨折的手术治疗不考虑患者的年龄 D.保守治疗是大多数股骨颈骨折的首选治疗方法 E.手术治疗后不需要进行物理康复 正确答案:B
3岁患儿，曾多次患肺炎，平时无发绀。查体:心前区隆起，心尖动弥散，胸骨左缘第2肋间可闻及Ш级粗糙的连续性机器样杂音，向颈部传导，有震颤，有水冲脉。右心导管检查的结果,A.肺动脉血氧含量高于右心室 B.股动脉血氧含量低 C.右桡动脉血氧含量低 D.右心房血氧含量高于上、下腔静脉平均血氧含量 E.右心室血氧含量高于右心房 正确答案:A
肾癌最常见的转移部位,A.肝 B.肺 C.骨骼 D.肾上腺 E.头颅 正确答案:B
尿路感染常见致病菌是,A.变形杆菌 B.副大肠杆菌 C.大肠杆菌 D.粪链球菌 E.葡萄球菌 正确答案:C
注射纳洛酮拮抗阿片类药物过快时导致,A.呼吸抑制 B.肺水肿 C.瞳孔散大 D.晕厥 E.头痛 正确答案:B
下列做法中不违背不伤害原则的是,A.造成本可避免的残疾 B.造成本可避免的病人自杀 C.发生故意伤害 D.造成本可避免的人格伤害 E.因急于手术抢救患者，未由家属或患者签协议书 正确答案:E
属于催乳激素的项目，正确的是,A.由神经垂体催乳细胞分泌 B.为糖蛋白激素  C.有促进乳汁合成功能 D.促甲状腺激素释放激素能抑制其分泌 E.由189个氨基酸组成的多肽激素 正确答案:C
以下哪种情况是平衡评定的适应证,A.下肢骨折未愈合 B.不能负重站立 C.发热 D.面神经炎 E.感染 正确答案:B 
关于肠系膜上动脉描述，不正确的是,A.起自腹腔动脉下方的腹主动脉 B.位于脾静脉后方 C.位于左肾静脉前方 D.位于胰腺钩突的前方 E.位于十二指肠水平段后方 正确答案:D
 抢救经呼吸道吸入的急性中毒，首要采取的措施是,A.清除尚未吸收的毒物 B.排出已吸收的毒物 C.使用解毒剂 D.对症治疗 E.立即脱离现场及急救 正确答案:E 
甲状旁腺激素对骨的作用,A.抑制钙离子释出 B.促进钙离子释出 C.抑制磷的释出 D.抑制骨吸收 E.释出镁离子 正确答案:B
下列哪项不符合低血糖的症状或表现,A.手抖 B.心悸 C.饥饿感 D.便频 E.皮肤多汗 正确答案:D
急性心肌梗死发生后，下列哪种情况不考虑溶栓治疗,A.高血压危象 B.高血糖 C.腹部手术后2年 D.高血脂 E.同时伴有2个部位的心肌梗死 正确答案:A
入睡困难患者最宜选择的镇静催眠药物为,A.阿普唑仑 B.唑吡坦 C.艾司唑仑 D.氯硝西泮 E.地西泮 正确答案:B
不发生在前纵隔的疾病是,A.淋巴瘤 B.生殖细胞肿瘤 C.心包囊肿 D.胸骨后甲状腺 E.胸腺囊肿 正确答案:C
新生儿换血速度通常控制在(输血科医师),A.1m//(kg.min) B.2m//(kg.min) C.3m//(kg.min) D.4m//(kg.min) E.5m//(kg.min) 正确答案:B
患儿，男，孕38+5周自然分娩出生，母孕期体健，羊水I度，胎盘、脐带未见异常，胎儿娩出后，心率90次/分，呼吸浅，不规则，活动少，四肢紫绀，躯干红润，刺激后哭闹，本惠儿Apgar评分为:,A.4 B.5 C.6 D.7 E.8 正确答案:C
关于胸主动脉瘤的特点，下列哪项不正确,A.可以产生主动脉瓣关闭不全 B.可以引起Horner综合征 C.可以分为真性动脉瘤、假性动脉瘤和夹层动脉瘤 D.死亡原因主要是缺血性脑病 E.手术治疗是最有效的方法 正确答案:D
关于肾癌的临床表现，以下哪项是错误的,A.血尿、疼痛或肿块都出现时已是晚期 B.可有腰部钝痛，有时亦可出现肾绞痛 C.肿块可在腹部或腰部出现 D.肾外表现有高热、低血压、红细胞减少等 E.间歇无痛肉眼血尿为常见症状 正确答案:E
成人桡骨下1/3骨折合并下尺桡关节脱位中，下尺桡关节间隙超过多少为下尺桡关节脱位,A.lmm B.2mm C.3mm D.4mm E.5mm 正确答案:B
急性重症胰腺炎出现肠麻痹时不宜应用的药物,A.生长抑素 B.抗胆碱能药物 C.H2受体拮抗剂 D.质子阻滞剂 E.肾上腺糖皮质激素 正确答案:B   解析： 抗胆碱能药物有诱发和加重肠麻痹的风险
骨折临床愈合后，骨痂的改造塑形决定于,A.外固定的牢固性 B.肢体活动和负重所形成的应力 C.局部血液供应状况 D.骨痂形成多少 E.是否配合治疗 正确答案:B
患者因右侧颞枕部被石块击伤后昏迷10分钟就诊，可见右颞骨线型骨折，清醒3小时后又转入昏迷，逐渐伴右侧瞳孔散大，左侧肢体瘫痪。此时最好的处理是,A.开颅手术，右侧额部入路 B.开颅手术，右侧颞部入路 C.开颅手术，右侧枕顶部入路 D.开颅手术，左侧额颞入路 E.脱水利尿，应用激素治疗 正确答案:B
下列哪项检查对于急性胰腺炎的确诊最重要,A.血常规+CRP B.血淀粉酶 C.肝功能 D.血脂肪酶 E.血钙
以下哪种新生儿分类是错误的?,A.新生儿按照出生时胎龄分类，可分为:超早产儿、极早产儿、足月儿、过期产儿 B.新生儿按照出生时胎龄与体重的关系分类，可分为:小于胎龄儿、适于胎龄儿、大于胎龄儿 C.新生儿按照出生体重可分为:低出生体重儿、正常体重儿、巨大儿 D.新生儿按照出生后周龄可分为:早期新生儿儿、晚期新生儿 E.新生儿可分为:正常产儿，高危儿 正确答案:A
急性脓胸是指病程在,A.6周以内 B.1个月以内 C.2个月以内 D.3个月以内 E.6个月以内 正确答案:A
同时患有ABO血型系统和Rh血型系统新生儿溶血病的患儿，换血治疗应选择(输血科医师),A.O型不与该Rh抗体反应的红细胞加AB型新鲜冰冻血浆 B.0型不与该Rh抗体反应的红细胞加O型新鲜冰冻血浆 C.AB型不与该Rh抗体反应的红细胞加AB型新鲜冰冻血浆 D.AB型不与该Rh抗体反应的红细胞加0型新鲜冰冻血浆 E.O型与该Rh抗体反应的红细胞加AB型新鲜冰冻血浆 正确答案:A
传播者以双方能理解的语言和能够接受的方式，使对方理解所传递的信息体现了人际传播技巧中的,A.说话技巧 B.提问技巧 C.倾听技巧 D.反馈技巧 E.观察技巧 正确答案:A
 患者，女性，35岁。“黑粪3次，晕厥1次。”送至当地医院急诊室。既往有十二指肠溃疡病史。可能存在休克，不选择下列哪项用来监测判断该患者的病情变化:,A.意识和精神状态 B.皮肤色泽和温度 C.脉搏、血压和外周静脉充盈情况 D.呼吸和尿量 E.血氧饱和度 正确答案:E
关于正常人氧的运送形式，下列哪项是正确的,A.血浆中物理溶解的氧、氧与血红蛋白结合的运送形式 B.血浆中物理溶解的氧、氧与血浆清蛋白结合的运送形式 C.高压状态下吸入氧、氧与血红蛋白结合的运送形式 D.以上都是 E.以上都不是 正确答案:A
糖尿病合并慢性心衰，首选的降糖药物是,A.二甲双胍 B.阿卡波糖 C.吡格列酮 D.达格列净 E.利格列汀 正确答案:D
女，48岁，反复易饥、出汗、头晕2年，加重伴意识障碍10分钟入院。否认糖尿病史，否认药物使用史。自述每次发作后进食可缓解，外院检査曾发现血糖2.3mmo。问哪一项检査提示存在胰岛素瘤可能?,A.肝功能显著异常 B.低血糖时胰岛素分泌指数大于0.4 C.餐后低血糖为主 D.有体重下降 正确答案:B
下列哪项不属于病例对照研究的特点,A.相对节省费用 B.根据所得结果可以估计相对危险度 C.可以计算发病率 D.观察方向为由果及因 E.对暴露因素的估计可能存在偏倚 正确答案:C
某住院医师值班时突然发现一患者意识不清、无正常呼吸、未触及颈动脉搏动。应首先采取的措施是,A.打电话通知患者家属马上到医院 B.呼叫护士并立即开始胸部按压 C.立即开放气道并进行人工呼吸 D.请麻醉科行气管插管机械通气 E.立即向科室主任报告患者情况 正确答案:B
下列哪项不是股骨颈骨折的潜在并发症?,A.股骨头缺血性坏死 B.皮肤褥疮 C.下肢深静脉血栓 D.坠积性肺炎 E.神经损伤 正确答案:E
患者，男性，62岁。进行性张口困难、左侧面部麻木1个月，查体发现右侧上下肢痛觉明显减退。该患者感觉障碍的类型是,A.皮质型感觉障碍 B.内囊偏身型感觉障碍 C.脑干交又型感觉障碍 D.脊髓横贯型感觉障碍 E.神经干型感觉障碍 正确答案:C
在传染病感染过程中最常见的是,A.隐性感染者 B.潜伏期携带者 C.慢性携带者 D.潜伏性感染者 E.显性感染者 正确答案:A
不属于狼疮性肾炎表现是,A.轻型肾炎
关于2:1房室传导阻滞的分析，不正确的是,A.2:1阻滞既可能是二度I型房室传导阻滞，也可能是二度I型房室传导阻滞 B.2:1阻滞一定是二度I型房室传导阻滞 C.若记录到3:2阻滞，而PR间期恒定，则2:1阻滞为二度I型房室传导阻滞 D.静注阿托品后，变为3:1、4:1下传，则为二度I型房室传导阻滞 E.静注阿托品后，变为3:2下传，PR间期逐渐延长，则为二度I型房室传导阻滞 正确答案:B
新生儿换血整个过程应控制在,A.0.5-1小时 B.1.5-2小时 C.2.5-3小时 D.3.5-4小时 E.4.5-5小时 正确答案:B
"下列传染病中,属于人畜共患病的是",A.麻疹 B.霍乱 C.伤寒 D.流行性腮腺炎 E.布鲁菌病 正确答案:E
"关于在我国建立精神病防治康复工作体系,，下列哪种说法不对",A.需要社会各界的重视和配合 B.以精神病院为主要基地 C.主要目的在于积极预防精神疾病，为病人提供及时和足够的医疗照顾，妥善管理和合理安置 D.建立精神病防治康复的组织管理网络 E.建立业务实施系统，对初级卫生保健人员进行精神病学知识培训 正确答案:B
下述哪项不是桡骨小头半脱位的发病因素,A.桡骨小头未发育好 B.环状韧带薄弱 C.患肢前臂受牵引力后，桡骨头向远端滑移 D.环状韧带卡压在肱桡关节内 E.前臂旋转外力 正确答案:E
题男患者，30岁，某公司销售人员。6个月前去外地出差，因为不熟悉地形走错了地方，当时天色已晚，患者感到胸闷、头晕，紧张、心慌的厉害，似乎大难临头，叫救护车到医院急诊检查。此后患者不敢到陌生的地尤其是较为空旷的场所，遇到人多的地方也会感到窒息、心跳加速，似乎要昏死过去。被建议来心理科就方，诊，如果准备对患者采用认知行为治疗，则应该进一步探索,A.潜意识冲突和童年期创伤 B.成长过程是否受阻碍 C.对问题的归因方式、认知形式 D.家庭成员的情况和互动表现 E.药物应用历史 正确答案:C
男性，35岁。间断发作性喘息2年。既往曾诊断为过敏性鼻炎，常年性，未规律治疗。1小时前打扫房间时出现频繁打喷嚏、流清水样鼻涕，继而出现憋气、喘息，症状逐渐加重至出现严重的呼吸困难。遂急诊就诊。查体:P120次/分，R32次/分，BP160/80mmHg;口唇发绍，神情紧张，可见三凹征，呼气相延长，双肺满布哮鸣音，心律齐，未闻及杂音。为评估患者病情严重程度，应进行的检查是,A.胸片 B.动脉血气分析 C.肺功能 D.心电图 E.呼出气一氧化氮(FeNO) 正确答案:B
男性，16岁，自8岁起反复出现发作性呼吸困难。发作前常有打喷、流涕，症状每次持续10余分钟后可自然缓解，缓解后无任何不适。该患者最可能的诊断是,A.心源性哮喘 B.慢性阻塞性肺疾病 C.支气管哮喘 D.自发性气胸 E.过敏性肺炎 正确答案:C
正常变异较大的脑池是,A.视交叉池 B.鞍上池 C.环池 D.枕大池 E.大脑大静脉池 正确答案:D
关于长管状骨结核的X线表现中，哪项不正确,A.骨质破坏 B.好发于骨干 C.出现砂粒样死骨 D.骨膜反应轻微 E.易侵犯关节 正确答案:B
腹外疝患者出现下列哪项时最应怀疑出现绞窄:,"A.腹痛 B.疝嵌顿数小时后,疝包块局部压痛并略显红肿 C.腹外疝不能还纳并时常有腹部不适已达数年 D.疝突出后,病人2小时未排气排便 E.疝嵌顿后,出现肠梗组 正确答案:B"
甲亢病人的手术禁忌症为:,A.继发性甲亢 B.高功能腺瘤 C.妊娠中期的重度甲亢  D.胸骨后甲状腺并发甲亢 E.青少年甲亢 正确答案:E
乳腺癌“酒窝征”的机理:,A.淋巴管癌栓阻塞 B.癌肿压迫 C.癌肿侵犯cooper韧带 D.合并感染 E.周围组织粘连 正确答案:C
与风湿热有关的病原菌是,A.B组乙型溶血性链球菌 B.草绿色链球菌 C.乙组A型溶血型链球菌 D.金黄色葡萄球菌 E.A组乙型溶血性链球 正确答案:E
感觉的刺激阈增高，反应剧烈时间延长，当刺激达到阈值时，经一潜伏期，可产生一种强烈、定位不明确的不适感觉，病人不能正常指出刺激部位和判明刺激的性质与强度，有时感到刺激点向四周扩散，持续一段时间后才消失。指的是,A.感觉异常 B.感觉过度 C.感觉倒错 D.感觉过敏 E.感觉减退 正确答案:B
药源性帕金森综合征不包括哪项,A.运动不能 B.肌张力障碍 C.震颤 D.自主神经功能紊乱 E.视物模糊 正确答案:E
亚急性感染性心内膜炎的赘生物脱落后最易引起栓塞的部位是,A.脾 B.心脏 C.脑 D.肠 E.肾 正确答案:C
影乡响气道阻力增加的最主要原因是,A.气道内径 B.气道长度和形态 C.气体密度和粘度 D.气流形式 E.气流速度 正确答案:A
下列哪项不属于生长发育指标,A.年龄别低体重百分比 B.人口自然增长率 C.年龄别低身高百分比 D.身高别低体重百分比 E.新生儿低体重发生率 正确答案:C
骨质疏松是指,A.单位体积内骨组织含量增加 B.单位体积内骨组织含量减少，骨组织的有机成分和钙盐含量的比例仍正常，二者成分都减少 C.骨组织的无机成分减少，有机成分不减少 D.骨组织的有机成分减少，无机成分不减少 E.骨组织的有机成分增加，无机成分减少 正确答案:B
老年性痴呆的病理特征是,A.大脑皮质萎缩 B.小脑脑沟增宽 C.老年斑和神经元纤维缠结 D.脑室扩大 E.神经元气球样肿胀 正确答案:C
"引|起严重的或致死的溶血性输血反应,最多见的是",A.输血速度过快 B.输血速度过慢 C.错输ABO型血 D.输新鲜血 E.输库存血 正确答案:C
急性肾炎的主要临床表现有,A.血尿，水肿，高血压，少尿 B.水肿，蛋白尿，高血压，少尿 C.少尿，血尿，蛋白尿，低蛋白血症 D.高血压，水肿，少尿 E.血尿，少尿，水肿 	 正确答案:A
急性肾小球肾炎治疗后，下列哪组临床所见最后恢复正常?,A.水肿、蛋白尿 B.高血压、血尿 C.蛋白尿、血尿 D.水肿、高血压 E.高比重尿、血尿 正确答案:C
"& ""D:/Program Files (x86)/python.exe"" d:/python/题库匹配/query_client.py",
腹股沟斜疝发生嵌顿的最主要原因是,A.疝环小，疝内容物有粘连 B.疝环小，腹内压骤然增高 C.疝环大，致疝内容物脱出过多 D.腹壁肌肉紧张收缩内环 E.腹壁肌肉紧张收缩外环 正确答案:B
患儿，男，3岁。近期感冒后X线透视发现心脏前有一块阴影，平时无症状，CT示胸骨中段后方有6cmx6cmx4cm肿块，可见钙化灶。首先要考虑的是,A.胸腺肥大 B.胸腺肿瘤 C.神经母细胞瘤 D.淋巴肉瘤 E.畸胎瘤 正确答案:E
以下哪个机构负责对艾滋病发生、流行以及影响其发生、流行的因素开展检测活动,A.卫生行政主管部门 B.医疗卫生机构 C.疾病预防控制机构 D.出入境检验检疫机构 E.艾滋病监测机构 正确答案:C
女，55岁，阵发性腹痛逐渐加重伴恶心、呕吐3天，査体:轻度腹胀、全腹轻压痛、肠鸣音亢进。左侧腹股沟韧带下方突起一直径5厘米大的半球型包块，压痛显著，不活动，表面尚光滑，X-线:腹部可见多个液气平面，最大可能是:,A.寒性脓肿继发感染 B.急性淋巴结炎 C.嵌顿性直疝 D.嵌顿性股疝 E.圆韧带囊肿囊内出血 正确答案:D
下列关于蝶鞍区解剖描述错误的是,A.蝶鞍位于蝶骨体中部，前界为鞍背，后界为鞍结节，中部为垂体窝 B.鞍结节两侧突起为前床突，鞍背两侧突起为后床突 C.鞍膈为颅底硬脑膜的返折，位于蝶鞍顶部 D.垂体柄通过鞍膈中部开口与垂体相连 E.视交叉通常位于鞍膈上方，两者之间为视交叉池 正确答案:A
急性脓胸经胸穿刺后，脓汁又迅速增多，其适当的治疗方法，是,A.加大抗生素用量 B.增加胸穿次数 C.胸腔闭式引流 D.周身支持疗法 E.开胸手术清除脓汁 正确答案:C
河豚毒素是一种,A.麻醉剂 B.腐蚀剂 C.神经毒 D.内毒素  E.溶血毒素 正确答案:C
男性，66岁。间断活动时憋气1年，伴轻度咳嗽、少量白痰。既往:高血压10年，规律服硝苯地平缓释片5mg Qd，血压控制良好。不吸烟。查体:全身浅表淋巴结不大，双下肺可闻及Velcro啰音，心律齐，未闻及心脏杂音，双手见杵状指。行肺功能检查，最可能出现的异常是,A.FEV1.0/FVC 65% B.TLC占预计值120% C.RV占预计值150% D.DLCO占预计值 45% E.吸入支气管舒张剂后FEV1.0改善率12%(250ml) 正确答案:D
